program_id,program_name,institution,source_type,source_url,primary_field,secondary_fields,interests,goals,budget,format,location_preference,city,state_or_country,region,selectivity,duration,duration_weeks,season,grade_min,grade_max,support_type,tuition_usd,financial_aid,residential_option,description,keywords,academic_strength_target,recommended_gpa_range,coursework_background_expected,prior_experience_expected,academic_rigor_level,prerequisite_notes
summit-ai-lab,Summit AI Research Lab,Pacifica Institute of Technology,local_seed,,computer science,artificial intelligence|data science,AI|faculty mentored|residential|capstone,research exposure|academic challenge|hands-on projects,high,in-person,same region,Palo Alto,California,west coast,high,6 weeks,6,summer,10,12,faculty mentored,6800,yes,available,"A selective six-week residential lab where students build machine learning projects, read research papers, and present findings to faculty mentors.",AI|faculty mentored|residential|capstone|Python|model evaluation|research communication|experimentation|computer science|artificial intelligence|data science,strong,3.6-3.8,some coding or quantitative coursework helps,some prior experience expected,high,recommended minimum GPA 3.6; A motivated student with some coding experience who wants a selective research environment.
code-forward-online,CodeForward Online Studio,CodeForward Collective,local_seed,,computer science,software engineering,portfolio|coding|remote|team-based,academic challenge|hands-on projects,moderate,online,anywhere,Remote,Online,online,emerging,4 weeks,4,summer,9,12,structured enrichment,1200,unknown,not offered,"A four-week online build sprint focused on web apps, collaborative coding, and portfolio-ready project demos.",portfolio|coding|remote|team-based|React|Git collaboration|product thinking|frontend development|computer science|software engineering,developing,3.0+,some coding or quantitative coursework helps,open to beginners,moderate,"A student who wants a practical, portfolio-first environment and appreciates online flexibility."
biofuture-med-scholars,BioFuture Medical Scholars,Northlake Health Academy,local_seed,,medicine,biology|public health,medicine|simulation|public health,academic challenge,high,in-person,same region,Boston,Massachusetts,east coast,medium,3 weeks,3,summer,10,12,structured enrichment,4900,unknown,available,"Students rotate through case-based clinical simulations, medical ethics seminars, and community health research projects.",medicine|simulation|public health|clinical reasoning|bioethics|health communication|medicine|biology|public health,solid,3.3-3.5,biology or chemistry background helpful,basic familiarity helps,medium,"recommended minimum GPA 3.4; A student curious about medicine, service, and rigorous science-based discussions."
venture-leaders-bootcamp,Venture Leaders Bootcamp,LaunchHouse Education,local_seed,,business,entrepreneurship|leadership,pitch|startup|leadership|hybrid,career exploration|leadership,moderate,hybrid,same region,Austin,Texas,south,medium,5 weeks,5,summer,10,12,project based,2400,unknown,possible,"A fast-paced hybrid incubator where students validate an idea, pitch investors, and build leadership stories around community needs.",pitch|startup|leadership|hybrid|pitching|customer discovery|team leadership|communication|business|entrepreneurship|leadership,solid,3.0+,"economics, statistics, or leadership experience helpful",basic familiarity helps,medium,"A student energized by ideas, collaboration, and pitching to an audience."
makers-engineering-residential,Makers Engineering Residential,Western Institute of Design & Engineering,local_seed,,engineering,robotics|design,engineering|prototype|campus|hands-on,academic challenge|hands-on projects,moderate,in-person,same region,Tempe,Arizona,west coast,emerging,2 weeks,2,summer,9,12,structured enrichment,2100,unknown,available,"An immersive campus program where students prototype robots, use CAD tools, and complete engineering design reviews.",engineering|prototype|campus|hands-on|CAD|robotics|design thinking|presentation|engineering|robotics|design,developing,3.0+,math and science coursework recommended,open to beginners,moderate,A student who prefers learning by making and wants a manageable entry point.
civic-humanities-fellows,Civic Humanities Fellows,Eastbridge Scholars Forum,local_seed,,humanities,public policy|writing,policy|writing|seminar|archives,research exposure|leadership,moderate,in-person,same region,Washington,D.C.,east coast,medium,4 weeks,4,summer,10,12,faculty mentored,3700,unknown,possible,"A seminar-driven summer fellowship focused on argumentation, civic discourse, policy writing, and archival research.",policy|writing|seminar|archives|policy writing|archival research|seminar discussion|argumentation|humanities|public policy|writing,solid,3.3-3.5,strong reading and writing coursework helps,basic familiarity helps,medium,"recommended minimum GPA 3.3; A student who enjoys deep reading, writing, and thoughtful discussion."
data-justice-lab,Data Justice Lab,Urban Futures Network,local_seed,,data science,social impact|public policy,data science|impact|visualization,research exposure|leadership,moderate,hybrid,same region,Chicago,Illinois,midwest,medium,5 weeks,5,summer,10,12,faculty mentored,1800,unknown,possible,Students use data analysis to study community challenges and build visual narratives for nonprofit partners.,data science|impact|visualization|data analysis|storytelling|visualization|stakeholder communication|data science|social impact|public policy,solid,3.0+,some coding or quantitative coursework helps,basic familiarity helps,medium,A student who wants meaningful impact work tied to quantitative thinking.
future-clinician-online,Future Clinician Online Intensive,MedVista Learning,local_seed,,medicine,health|research,health|affordable|remote,academic challenge,low,online,anywhere,Remote,Online,online,emerging,3 weeks,3,summer,9,12,structured enrichment,650,unknown,not offered,"An online pathway covering patient case analysis, health disparities, and introductory clinical research methods.",health|affordable|remote|case analysis|health equity vocabulary|research basics|medicine|health|research,developing,3.0+,biology or chemistry background helpful,open to beginners,moderate,A student who wants affordable exploration before committing to a bigger summer program.
founders-product-studio,Founders Product Studio,Blue Ridge Innovation Center,local_seed,,business,product design|computer science,product|startup|UX|technology,career exploration|leadership|portfolio building|hands-on projects,high,in-person,same region,Seattle,Washington,west coast,medium,4 weeks,4,summer,10,12,project based,4100,unknown,possible,"A four-week studio where students interview users, prototype apps, and learn how product strategy connects technology and business.",product|startup|UX|technology|user research|prototyping|product strategy|storytelling|business|product design|computer science,solid,3.0+,some coding or quantitative coursework helps,basic familiarity helps,medium,"A curious builder who wants to connect coding, design, and leadership."
scholars-quant-academy,Scholars Quant Academy,Metropolitan Math Circle,local_seed,,mathematics,data science|economics,math|quant|proofs|modeling,research exposure|academic challenge,high,in-person,same region,New York,New York,east coast,high,5 weeks,5,summer,10,12,faculty mentored,5200,unknown,possible,"A rigorous summer academy centered on proof-based problem solving, statistics, and quantitative modeling.",math|quant|proofs|modeling|proof writing|statistical modeling|analytical reasoning|mathematics|data science|economics,strong,3.6-3.8,some coding or quantitative coursework helps,some prior experience expected,high,recommended minimum GPA 3.7; A student who genuinely enjoys difficult quantitative challenges.
